216	243	216.000000
243	217	150.000000
243	137	32.000000
243	41	226.000000
243	310	93.000000
243	312	243.000000
243	167	243.000000
217	150	217.000000
217	324	217.000000
217	100	217.000000
217	119	217.000000
217	171	214.000000
150	128	150.000000
150	119	150.000000
150	189	100.000000
150	163	150.000000
150	324	150.000000
150	329	150.000000
64	217	64.000000
64	119	64.000000
64	171	64.000000
64	150	64.000000
64	189	64.000000
324	217	100.000000
324	213	340.000000
324	136	324.000000
324	20	14.000000
324	22	185.000000
324	341	203.000000
324	297	324.000000
324	199	324.000000
324	315	324.000000
324	277	324.000000
324	118	304.000000
324	304	324.000000
324	109	324.000000
324	332	329.000000
324	252	325.000000
324	224	324.000000
324	238	324.000000
324	329	324.000000
324	200	324.000000
100	269	100.000000
100	64	100.000000
100	115	14.000000
100	150	100.000000
100	323	236.000000
189	217	189.000000
189	171	107.000000
189	65	203.000000
189	150	189.000000
189	100	311.000000
119	217	171.000000
119	25	119.000000
119	27	119.000000
119	21	119.000000
119	285	232.000000
119	128	119.000000
119	132	72.000000
119	56	231.000000
119	297	119.000000
119	318	119.000000
119	199	119.000000
119	271	172.000000
119	277	172.000000
119	82	118.000000
119	339	119.000000
119	261	119.000000
119	176	119.000000
119	332	119.000000
119	239	119.000000
119	113	119.000000
119	252	119.000000
119	100	119.000000
119	170	119.000000
119	48	119.000000
119	1	119.000000
119	323	119.000000
119	185	119.000000
119	9	119.000000
119	329	119.000000
119	146	119.000000
119	203	119.000000
119	324	119.000000
119	325	119.000000
119	13	119.000000
119	98	119.000000
119	109	119.000000
119	248	119.000000
119	79	119.000000
119	39	119.000000
119	189	118.000000
171	58	171.000000
171	119	171.000000
171	150	171.000000
171	189	171.000000
171	107	7.000000
289	214	289.000000
289	137	17.000000
289	19	289.000000
214	20	214.000000
214	14	214.000000
214	19	214.000000
214	312	214.000000
214	41	214.000000
214	115	214.000000
214	116	214.000000
214	326	214.000000
214	343	214.000000
214	137	214.000000
20	214	14.000000
20	41	20.000000
20	14	20.000000
20	44	20.000000
20	343	20.000000
20	149	20.000000
20	115	20.000000
20	111	20.000000
20	326	20.000000
20	162	20.000000
14	41	17.000000
14	28	14.000000
14	144	14.000000
14	116	14.000000
14	326	14.000000
140	214	140.000000
140	137	140.000000
140	41	140.000000
140	28	312.000000
140	17	140.000000
140	115	140.000000
140	116	140.000000
19	214	312.000000
19	41	19.000000
19	343	19.000000
19	319	89.000000
19	174	19.000000
19	175	321.000000
19	222	238.000000
19	220	115.000000
19	227	19.000000
19	115	19.000000
19	17	116.000000
19	89	19.000000
